Date,Period,Year,Quarter,Index,YoY_Change,Change_from_2021,QoQ_Change
2001-03-01,2001 Q1,2001,1,28.3,,-71.7,
2001-06-01,2001 Q2,2001,2,33.1,,-66.9,16.96113074204948
2001-09-01,2001 Q3,2001,3,33.7,,-66.3,1.812688821752273
2001-12-01,2001 Q4,2001,4,34.9,,-65.1,3.5608308605341144
2002-03-01,2002 Q1,2002,1,30.5,7.773851590105996,-69.5,-12.60744985673352
2002-06-01,2002 Q2,2002,2,35.7,7.85498489425982,-64.3,17.04918032786886
2002-09-01,2002 Q3,2002,3,36.7,8.902077151335309,-63.3,2.8011204481792618
2002-12-01,2002 Q4,2002,4,37.4,7.163323782234965,-62.6,1.9073569482288777
2003-03-01,2003 Q1,2003,1,33.5,9.836065573770503,-66.5,-10.427807486631014
2003-06-01,2003 Q2,2003,2,38.8,8.683473389355733,-61.2,15.820895522388057
2003-09-01,2003 Q3,2003,3,40.8,11.171662125340575,-59.2,5.154639175257736
2003-12-01,2003 Q4,2003,4,42.6,13.903743315508033,-57.4,4.4117647058823595
2004-03-01,2004 Q1,2004,1,38.4,14.626865671641799,-61.6,-9.859154929577475
2004-06-01,2004 Q2,2004,2,45.3,16.752577319587637,-54.7,17.96875
2004-09-01,2004 Q3,2004,3,46.3,13.480392156862742,-53.7,2.207505518763786
2004-12-01,2004 Q4,2004,4,48.6,14.084507042253524,-51.4,4.967602591792675
2005-03-01,2005 Q1,2005,1,41.5,8.072916666666675,-58.5,-14.609053497942392
2005-06-01,2005 Q2,2005,2,49.2,8.60927152317883,-50.8,18.554216867469897
2005-09-01,2005 Q3,2005,3,51.3,10.799136069114468,-48.7,4.268292682926811
2005-12-01,2005 Q4,2005,4,54.9,12.962962962962955,-45.1,7.017543859649122
2006-03-01,2006 Q1,2006,1,49.6,19.518072289156628,-50.4,-9.653916211293257
2006-06-01,2006 Q2,2006,2,59.0,19.918699186991873,-41.0,18.9516129032258
2006-09-01,2006 Q3,2006,3,61.8,20.467836257309948,-38.2,4.745762711864399
2006-12-01,2006 Q4,2006,4,65.9,20.036429872495454,-34.099999999999994,6.6343042071197456
2007-03-01,2007 Q1,2007,1,61.2,23.38709677419355,-38.8,-7.132018209408198
2007-06-01,2007 Q2,2007,2,69.4,17.627118644067806,-30.599999999999994,13.398692810457513
2007-09-01,2007 Q3,2007,3,69.9,13.10679611650487,-30.099999999999994,0.7204610951008661
2007-12-01,2007 Q4,2007,4,71.1,7.890743550834589,-28.900000000000006,1.716738197424883
2008-03-01,2008 Q1,2008,1,62.6,2.287581699346397,-37.4,-11.95499296765119
2008-06-01,2008 Q2,2008,2,68.6,-1.1527377521614035,-31.400000000000006,9.584664536741204
2008-09-01,2008 Q3,2008,3,67.7,-3.1473533619456373,-32.3,-1.311953352769668
2008-12-01,2008 Q4,2008,4,65.4,-8.016877637130781,-34.599999999999994,-3.3973412112259904
2009-03-01,2009 Q1,2009,1,53.5,-14.536741214057514,-46.5,-18.195718654434256
2009-06-01,2009 Q2,2009,2,59.1,-13.848396501457716,-40.9,10.46728971962616
2009-09-01,2009 Q3,2009,3,56.1,-17.134416543574595,-43.9,-5.076142131979699
2009-12-01,2009 Q4,2009,4,54.9,-16.05504587155965,-45.1,-2.1390374331550888
2010-03-01,2010 Q1,2010,1,47.4,-11.401869158878508,-52.6,-13.661202185792353
2010-06-01,2010 Q2,2010,2,55.3,-6.429780033840959,-44.7,16.666666666666675
2010-09-01,2010 Q3,2010,3,56.5,0.7130124777183555,-43.5,2.169981916817365
2010-12-01,2010 Q4,2010,4,57.5,4.735883424408027,-42.5,1.7699115044247815
2011-03-01,2011 Q1,2011,1,49.2,3.797468354430378,-50.8,-14.43478260869565
2011-06-01,2011 Q2,2011,2,58.3,5.4249547920433905,-41.7,18.49593495934958
2011-09-01,2011 Q3,2011,3,60.2,6.548672566371683,-39.8,3.2590051457976
2011-12-01,2011 Q4,2011,4,61.5,6.956521739130439,-38.5,2.1594684385382035
2012-03-01,2012 Q1,2012,1,55.1,11.991869918699184,-44.9,-10.406504065040645
2012-06-01,2012 Q2,2012,2,62.8,7.718696397941671,-37.2,13.974591651542646
2012-09-01,2012 Q3,2012,3,64.0,6.3122923588039725,-36.0,1.9108280254777066
2012-12-01,2012 Q4,2012,4,64.9,5.528455284552858,-35.099999999999994,1.4062500000000089
2013-03-01,2013 Q1,2013,1,57.8,4.900181488203259,-42.2,-10.939907550077056
2013-06-01,2013 Q2,2013,2,66.4,5.732484076433142,-33.599999999999994,14.878892733564019
2013-09-01,2013 Q3,2013,3,66.9,4.531250000000009,-33.099999999999994,0.7530120481927804
2013-12-01,2013 Q4,2013,4,68.6,5.701078582434493,-31.400000000000006,2.5411061285500525
2014-03-01,2014 Q1,2014,1,61.4,6.228373702422152,-38.6,-10.495626822157433
2014-06-01,2014 Q2,2014,2,70.5,6.174698795180711,-29.5,14.820846905537465
2014-09-01,2014 Q3,2014,3,71.8,7.324364723467847,-28.200000000000003,1.8439716312056653
2014-12-01,2014 Q4,2014,4,73.3,6.851311953352779,-26.700000000000003,2.089136490250687
2015-03-01,2015 Q1,2015,1,66.7,8.63192182410424,-33.3,-9.004092769440653
2015-06-01,2015 Q2,2015,2,75.7,7.375886524822706,-24.299999999999997,13.493253373313351
2015-09-01,2015 Q3,2015,3,77.4,7.799442896935949,-22.599999999999994,2.245706737120212
2015-12-01,2015 Q4,2015,4,79.5,8.458390177353348,-20.5,2.713178294573626
2016-03-01,2016 Q1,2016,1,71.2,6.746626686656665,-28.799999999999997,-10.440251572327043
2016-06-01,2016 Q2,2016,2,80.9,6.869220607661819,-19.099999999999994,13.623595505617981
2016-09-01,2016 Q3,2016,3,80.7,4.263565891472854,-19.299999999999997,-0.24721878862793423
2016-12-01,2016 Q4,2016,4,83.2,4.654088050314464,-16.799999999999997,3.0978934324659146
2017-03-01,2017 Q1,2017,1,74.8,5.0561797752809,-25.200000000000003,-10.096153846153854
2017-06-01,2017 Q2,2017,2,84.2,4.0791100123609425,-15.799999999999997,12.566844919786103
2017-09-01,2017 Q3,2017,3,83.5,3.4696406443618377,-16.5,-0.8313539192399078
2017-12-01,2017 Q4,2017,4,85.0,2.163461538461542,-15.0,1.7964071856287456
2018-03-01,2018 Q1,2018,1,76.3,2.0053475935828846,-23.700000000000003,-10.235294117647065
2018-06-01,2018 Q2,2018,2,86.0,2.13776722090262,-14.0,12.712975098296209
2018-09-01,2018 Q3,2018,3,86.9,4.071856287425146,-13.099999999999994,1.0465116279069875
2018-12-01,2018 Q4,2018,4,89.9,5.7647058823529385,-10.099999999999994,3.4522439585730647
2019-03-01,2019 Q1,2019,1,80.6,5.6356487549148016,-19.400000000000006,-10.344827586206906
2019-06-01,2019 Q2,2019,2,90.3,5.000000000000004,-9.700000000000003,12.0347394540943
2019-09-01,2019 Q3,2019,3,92.0,5.868814729574212,-8.0,1.882613510520481
2019-12-01,2019 Q4,2019,4,94.6,5.22803114571746,-5.400000000000006,2.826086956521734
2020-03-01,2020 Q1,2020,1,85.7,6.327543424317628,-14.299999999999997,-9.408033826638473
2020-06-01,2020 Q2,2020,2,86.0,-4.761904761904756,-14.0,0.3500583430571691
2020-09-01,2020 Q3,2020,3,93.9,2.0652173913043637,-6.099999999999994,9.18604651162791
2020-12-01,2020 Q4,2020,4,97.7,3.2769556025370017,-2.299999999999997,4.046858359957395
2021-03-01,2021 Q1,2021,1,87.7,2.333722287047846,-12.299999999999997,-10.235414534288633
2021-06-01,2021 Q2,2021,2,100.7,17.093023255813968,0.7000000000000028,14.82326111744583
2021-09-01,2021 Q3,2021,3,104.9,11.714589989350376,4.900000000000006,4.170804369414105
2021-12-01,2021 Q4,2021,4,106.7,9.211873080859778,6.700000000000003,1.7159199237368972
2022-03-01,2022 Q1,2022,1,94.2,7.411630558722915,-5.799999999999997,-11.715089034676662
2022-06-01,2022 Q2,2022,2,102.8,2.0854021847070525,2.799999999999997,9.129511677282377
2022-09-01,2022 Q3,2022,3,100.9,-3.813155386081979,0.9000000000000057,-1.8482490272373475
2022-12-01,2022 Q4,2022,4,100.3,-5.998125585754455,0.29999999999999716,-0.5946481665014991
2023-03-01,2023 Q1,2023,1,90.4,-4.033970276008492,-9.599999999999994,-9.870388833499488
2023-06-01,2023 Q2,2023,2,100.8,-1.945525291828798,0.7999999999999972,11.504424778761058
2023-09-01,2023 Q3,2023,3,99.3,-1.5857284440039754,-0.7000000000000028,-1.4880952380952328
2023-12-01,2023 Q4,2023,4,101.1,0.7976071784645988,1.0999999999999943,1.812688821752273
2024-03-01,2024 Q1,2024,1,86.6,-4.203539823008862,-13.400000000000006,-14.342235410484673
2024-06-01,2024 Q2,2024,2,97.4,-3.373015873015861,-2.5999999999999943,12.471131639722888
2024-09-01,2024 Q3,2024,3,96.9,-2.416918429003012,-3.0999999999999943,-0.5133470225872738
2024-12-01,2024 Q4,2024,4,105.8,4.648862512364005,5.799999999999997,9.184726522187802
2025-03-01,2025 Q1,2025,1,89.4,3.233256351039282,-10.599999999999994,-15.500945179584114
2025-06-01,2025 Q2,2025,2,101.8,4.517453798767956,1.7999999999999972,13.870246085011173
2025-09-01,2025 Q3,2025,3,99.2,2.3735810113518996,-0.7999999999999972,-2.5540275049115824
